Model,Accuracy,Precision (Class 1),Recall (Class 1),F1-Score (Class 1)
Logistic Regression,0.7653631284916201,0.7014925373134329,0.6811594202898551,0.6911764705882353
Random Forest,0.7988826815642458,0.746268656716418,0.7246376811594203,0.7352941176470589
SVM,0.8268156424581006,0.8653846153846154,0.6521739130434783,0.743801652892562
KNN,0.7541899441340782,0.6712328767123288,0.7101449275362319,0.6901408450704225
XGBoost,0.8268156424581006,0.7878787878787878,0.7536231884057971,0.7703703703703704
